Serial No.,Hotel Name,Overall Rating,Pincode
1,Grande Centre Point Hotel Terminal 21 (SHA Plus+),8.7,10110
2,Grande Centre Point Hotel Ratchadamri (SHA Extra Plus),8.6,10330
3,BS Residence Suvarnabhumi (SHA Plus+),7.2,10520
4,Grande Centre Point Hotel Ploenchit (SHA Extra plus),8.5,10330
5,W 21 HOTEL Bangkok (SHA Extra plus),7.6,10110
6,Siam Mandarina Hotel (SHA Extra Plus),8.1,10540
7,Grande Centre Point Hotel Terminal 21 (SHA Plus+),8.7,10110
8,Bangkok Cha-Da Hotel (SHA Plus+),7.3,10310
9,Siri Sathorn Bangkok by UHG (SHA Plus+),8.3,10500
10,Novotel Bangkok Sukhumvit 20 (SHA Extra plus),8.9,10110
11,Pathumwan Princess Hotel (SHA Extra Plus),8.7,10330
12,Grande Centre Point Hotel Ratchadamri (SHA Extra Plus),8.6,10330
13,Citrus Sukhumvit 13 Nana Bangkok by Compass Hospitality (SHA Extra Plus),7.6,10110
14,Novotel Bangkok Ploenchit Sukhumvit Hotel (SHA Certified),8.5,10330
15,Holiday Inn Express Bangkok Sukhumvit 11 (SHA Plus+),7.9,10110
16,BS Residence Suvarnabhumi (SHA Plus+),7.2,10520
17,Carlton Hotel Bangkok Sukhumvit (SHA Extra Plus),9.3,10110
18,iCheck inn Residence soi 2 (SHA Extra Plus),7.9,10110
19,Novotel Bangkok Suvarnabhumi Airport Hotel (SHA Extra plus),8.3,10540
20,Grande Centre Point Sukhumvit 55 Thong Lo (SHA Plus+),8.8,10110
