Serial No.,Hotel Name,Overall Rating,Pincode
1,Glenmarie Hotel & Golf Resort,8.3,40250
2,WOLO Kuala Lumpur,9,55100
3,DeFace Platinum Kuala Lumpur,8.4,50250
4,Philea Mines Beach Resort,7.4,43300
5,Komune Living,8.5,59200
6,The RuMa Hotel and Residences,9.4,50450
7,InterContinental Kuala Lumpur,8.7,50450
8,Somerset Damansara Uptown Petaling Jaya,8.6,47400
9,The Everly Putrajaya Hotel,8.7,62000
10,Komune Living,8.5,59200
11,Regalia Suites & Hotel,7,50480
12,Hilton Garden Inn Kuala Lumpur - South,8.4,50100
13,One World Hotel,8.6,47800
14,The Loftplaza Hotel,8.7,43000
15,The RuMa Hotel and Residences,9.4,50450
16,Oasia Suites Kuala Lumpur by Far East Hospitality,8.5,50250
17,Sunway Putra Hotel Kuala Lumpur,8.5,50350
18,The Gardens - A St Giles Signature Hotel & Residences Kuala Lumpur,8.4,59200
19,de King Boutique Hotel KLCC,8.1,50450
20,Cititel Mid Valley Hotel,7.7,59200
