Serial No.,Hotel Name,Overall Rating,Pincode
1,YOTEL Singapore Orchard Road (SG Clean Certified),8.8,38904
2,"Hotel Grand Central (SG Clean, Staycation Approved)",7.6,29617
3,Hilton Garden Inn Singapore Serangoon,8.2,19924
4,Resorts World Sentosa - Hotel Michael (SG Clean Certified),8,98269
5,Hotel Grand Pacific (SG Clean Certified),7.7,88018
6,Hotel G Singapore (SG Clean Certified & Staycation Approved),8.4,88980
7,Summer View Hotel (SG Clean and Staycation Approved),8.1,89642
8,Royal Plaza on Scotts Hotel,8.5,28220
9,"Pan Pacific Serviced Suites Beach Road, Singapore (SG Clean Certified)",8.7,99592
10,Holiday Inn Express Singapore Clarke Quay (SG Clean Certified),8.5,59573
11,YOTEL Singapore Orchard Road (SG Clean Certified),8.8,38904
12,Grand Copthorne Waterfront Hotel,7.9,69663
13,Marina Bay Sands (SG Clean Certified),8.6,18956
14,"Hotel Grand Central (SG Clean, Staycation Approved)",7.6,29617
15,Carlton Hotel Singapore - SG Clean Certified,8.5,89558
16,"ibis budget Singapore Selegie (SG Clean, Staycation Approved)",7.7,88329
17,Hilton Garden Inn Singapore Serangoon,8.2,19924
18,Furama City Centre Hotel (SG Clean Certified),7.8,59804
19,Hotel Chancellor@Orchard,7.4,29635
20,Pan Pacific Singapore (SG Clean Certified),8.8,39595
